time,move_type,BPM,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5,start_image
0,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
2.742857,Uhoi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
13.714286,Bye,350,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
16.8,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
46.628571,Uhoi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
47.657143,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
48,Uhoi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
49.028571,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
49.371429,Uhoi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
50.4,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
50.742857,Uhoi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
51.771429,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
61.714286,Fufu,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
63.942857,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
67.2,Fufu,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
69.428571,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
72.685714,Fufu,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
74.4,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
78.171429,Uhoi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
79.2,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
79.542857,Bye,376,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
81.257143,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
90.514286,Uhoi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
98.914286,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
100.114286,Fufu,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
102.342857,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
105.6,Fufu,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
106.971429,Uhoi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
110.571429,Oioi,175,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
116.571429,Bye,376,Random3,Pink01,Blue01,Yellow01,,,,,,,,0
