id,sec,type,startPos,finishPos,status,sync,groupId
1,,100,,,517,0,0
2,0,91,,,0,0,0
3,3.692307692,1,1,1,0,0,0
4,3.923076923,1,2,2,0,0,0
5,4.153846154,1,3,3,0,0,0
6,4.384615385,1,2,2,0,0,0
7,4.615384615,2,3,3,0,0,0
8,5.076923077,2,3,3,2,0,0
9,5.307692308,2,2,1,0,0,0
10,5.769230769,2,1,1,0,1,0
11,5.769230769,2,1,2,0,1,0
12,6.230769231,2,1,2,0,1,0
13,6.230769231,2,1,1,0,1,0
14,6.461538462,1,3,5,0,0,0
15,6.923076923,1,3,4,0,0,0
16,7.384615385,2,1,1,0,1,0
17,7.384615385,1,2,2,0,1,0
18,7.615384615,1,3,3,0,0,0
19,7.846153846,1,4,4,0,0,0
20,8.076923077,1,3,3,0,0,0
21,8.307692308,2,4,4,0,0,0
22,8.769230769,2,4,4,2,0,0
23,9,2,5,5,0,0,0
24,9.461538462,2,5,5,0,1,0
25,9.461538462,2,5,3,0,1,0
26,9.923076923,2,5,3,0,1,0
27,9.923076923,2,5,4,0,1,0
28,10.15384615,1,3,1,0,0,0
29,10.61538462,1,3,2,0,0,0
30,11.07692308,2,5,4,0,1,0
31,11.07692308,1,3,1,0,1,0
32,11.30769231,1,2,2,0,0,0
33,11.53846154,1,3,3,0,0,0
34,11.76923077,1,2,2,0,0,0
35,12,2,3,3,0,0,0
36,12.46153846,2,3,3,2,0,0
37,12.69230769,2,1,1,0,0,0
38,13.15384615,2,1,1,0,1,0
39,13.15384615,2,1,2,0,1,0
40,13.61538462,2,1,2,0,1,0
41,13.61538462,2,1,1,0,1,0
42,13.84615385,1,3,5,0,0,0
43,14.07692308,2,1,1,0,0,0
44,14.30769231,1,3,4,0,1,0
45,14.30769231,1,1,1,0,1,0
46,14.53846154,2,2,2,0,0,0
47,14.76923077,1,3,3,0,0,0
48,15.69230769,2,2,2,0,0,0
49,16.15384615,1,5,5,0,0,0
50,16.38461538,2,4,4,0,0,0
51,17.76923077,2,4,4,0,1,0
52,17.76923077,1,2,2,0,1,0
53,18,1,4,2,0,1,0
54,18,1,2,4,2,1,1
55,18.05769231,1,2,5,2,0,1
56,18.23076923,1,3,3,0,0,0
57,18.46153846,1,3,3,0,1,0
58,18.46153846,2,2,2,0,1,0
59,18.69230769,1,4,4,0,0,0
60,19.15384615,1,3,3,0,0,0
61,19.38461538,1,3,3,0,0,0
62,19.61538462,1,4,4,0,0,0
63,20.07692308,1,3,3,0,0,0
64,20.30769231,1,3,3,0,0,0
65,20.53846154,1,4,4,0,0,0
66,21,1,4,4,0,0,0
67,21.23076923,1,5,5,0,0,0
68,21.46153846,1,4,4,0,0,0
69,21.69230769,1,4,4,0,0,0
70,21.92307692,1,3,3,0,1,0
71,21.92307692,2,2,2,0,1,0
72,22.15384615,1,4,4,0,1,0
73,22.15384615,2,1,1,0,1,0
74,22.38461538,1,5,5,0,0,0
75,22.61538462,1,4,4,0,0,0
76,22.84615385,1,5,5,0,0,0
77,23.07692308,1,4,4,0,0,0
78,23.30769231,1,3,3,0,0,0
79,23.53846154,1,4,4,0,0,0
80,23.76923077,2,3,3,0,0,0
81,25.38461538,2,3,3,0,0,0
82,25.61538462,1,3,3,0,1,0
83,25.61538462,2,1,1,0,1,0
84,25.84615385,1,3,3,0,1,0
85,25.84615385,2,2,2,0,1,0
86,26.07692308,1,4,4,0,0,0
87,26.53846154,1,3,3,0,0,0
88,26.76923077,1,3,3,0,0,0
89,27,1,4,4,0,0,0
90,27.46153846,1,3,3,0,0,0
91,27.69230769,1,3,3,0,0,0
92,27.92307692,1,4,4,0,0,0
93,28.38461538,1,3,3,0,0,0
94,28.61538462,1,4,4,0,0,0
95,28.84615385,1,5,5,0,0,0
96,29.07692308,1,4,4,0,0,0
97,29.30769231,1,3,3,0,1,0
98,29.30769231,2,2,2,0,1,0
99,29.53846154,1,2,2,0,1,0
100,29.53846154,2,1,1,0,1,0
101,29.76923077,1,3,3,0,0,0
102,30,1,2,2,0,0,0
103,30.23076923,1,3,3,0,0,0
104,30.46153846,1,4,4,0,0,0
105,30.69230769,1,2,2,0,0,0
106,30.92307692,1,4,4,0,0,0
107,31.15384615,2,5,5,0,0,0
108,32.76923077,2,5,5,2,1,0
109,32.76923077,2,1,1,1,1,0
110,33,1,3,3,0,1,0
111,33,1,2,1,0,1,0
112,33.23076923,1,3,3,0,0,0
113,33.46153846,1,4,4,0,0,0
114,33.69230769,1,2,1,0,0,0
115,33.92307692,1,3,3,0,0,0
116,34.15384615,1,3,3,0,0,0
117,34.38461538,1,4,4,0,0,0
118,34.61538462,1,2,1,0,0,0
119,34.84615385,1,3,3,0,0,0
120,35.07692308,1,3,3,0,0,0
121,35.30769231,1,4,4,0,0,0
122,35.53846154,1,2,1,0,0,0
123,35.76923077,1,4,4,0,0,0
124,36,1,5,5,0,0,0
125,36.23076923,1,4,4,0,0,0
126,36.46153846,1,4,4,0,1,0
127,36.46153846,1,2,1,0,1,0
128,36.69230769,1,3,3,0,0,0
129,36.92307692,1,4,4,0,0,0
130,37.15384615,1,5,5,0,0,0
131,37.38461538,1,4,4,0,1,0
132,37.38461538,1,2,1,0,1,0
133,37.61538462,1,5,5,0,0,0
134,37.84615385,1,4,4,0,0,0
135,38.07692308,1,3,3,0,0,0
136,38.30769231,1,4,4,0,1,0
137,38.30769231,1,2,1,0,1,0
138,38.53846154,2,3,3,0,0,0
139,39.23076923,1,2,1,0,0,0
140,40.15384615,2,3,3,0,1,0
141,40.15384615,1,2,1,0,1,0
142,40.38461538,1,3,3,0,0,0
143,40.61538462,1,3,3,0,0,0
144,40.84615385,1,4,4,0,0,0
145,41.07692308,1,2,1,0,0,0
146,41.30769231,1,3,3,0,0,0
147,41.53846154,1,3,3,0,0,0
148,41.76923077,1,4,4,0,0,0
149,42,1,2,1,0,0,0
150,42.23076923,1,3,3,0,0,0
151,42.46153846,1,3,3,0,0,0
152,42.69230769,1,4,4,0,0,0
153,42.92307692,1,2,1,0,0,0
154,43.15384615,1,3,3,0,0,0
155,43.38461538,1,4,4,0,0,0
156,43.61538462,1,5,5,0,0,0
157,43.84615385,1,4,4,0,1,0
158,43.84615385,1,2,1,0,1,0
159,44.07692308,1,3,3,0,0,0
160,44.30769231,1,2,2,0,0,0
161,44.53846154,1,3,3,0,0,0
162,44.76923077,1,2,2,0,1,0
163,44.76923077,1,2,1,0,1,0
164,45,1,3,3,0,0,0
165,45.23076923,1,4,4,0,0,0
166,45.46153846,1,3,3,0,0,0
167,45.69230769,1,5,5,0,1,0
168,45.69230769,1,2,1,0,1,0
169,45.92307692,2,4,4,0,0,0
170,46.61538462,1,2,1,0,0,0
171,47.30769231,1,2,1,0,0,0
172,47.53846154,1,4,3,1,1,2
173,47.53846154,2,4,4,0,1,0
174,47.59615385,1,4,2,1,0,2
175,48,1,3,3,0,0,0
176,48.46153846,1,3,4,0,1,0
177,48.46153846,1,3,3,0,1,0
178,48.92307692,1,3,2,0,1,0
179,48.92307692,1,3,3,0,1,0
180,49.38461538,1,3,1,0,1,0
181,49.38461538,1,3,3,0,1,0
182,49.84615385,1,3,4,0,1,0
183,49.84615385,1,3,3,0,1,0
184,50.30769231,1,3,2,0,1,0
185,50.30769231,1,3,3,0,1,0
186,50.53846154,1,3,1,0,0,0
