time,move_type,BPM,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5,3D_move_type,3D_BPM,start_image
0,Bye,10,Random2,Yellow01,Orange01,,,,,,,,,Oioi,1,0
2.785715,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,Oioi,175,0
41.142857,Uhoi,175,Random2,Yellow01,Orange01,,,,,,,,,Stop,175,0
41.828571,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,PPPH,175,0
42.514286,Uhoi,175,Random2,Yellow01,Orange01,,,,,,,,,Stop,175,0
43.2,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,PPPH,175,0
43.885714,Uhoi,175,Random2,Yellow01,Orange01,,,,,,,,,Stop,175,0
44.571429,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,PPPH,175,0
45.257143,Uhoi,175,Random2,Yellow01,Orange01,,,,,,,,,Stop,175,0
45.942857,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,PPPH,175,0
46.67143,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,Oioi,175,0
55.84286,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,Oioi,175,0
56.571429,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,PPPH,116,0
57.64286,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,Oioi,175,0
63.085714,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,Oioi,175,0
67.885714,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,PPPH,116,0
68.571429,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,Oioi,175,0
90.514286,Uhoi,175,Random2,Yellow01,Orange01,,,,,,,,,Uhoi,175,0
93.257143,Uhoi,175,Random2,Yellow01,Orange01,,,,,,,,,Uhoi,175,0
94,Uhoi,175,Random2,Yellow01,Orange01,,,,,,,,,Bye,360,0
96.04286,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,Oioi,175,0
101.485714,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,Oioi,175,0
106.285714,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,PPPH,116,0
106.971429,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,Oioi,175,0
112.5,Oioi,175,Random2,Yellow01,Orange01,,,,,,,,,Oioi,175,0
