0.03333,MOT_mc_bg_black_00,seat100-0,,
2.46642,1,1-4,,f1
2.46642,2,j1-4,,
2.46642,3,j1-4,,
2.46642,4,j1-4,,
2.46642,5,j1-4,,
2.63307,MOT_mc_speaker_00,temp2,,
2.63307,MOT_mc_light_up_00,l1,,
2.63307,MOT_mc_light_center_00,l2,,
2.63307,MOT_mc_light_under_00,l1,,
2.63307,MOT_mc_bg_black_00,b80-45,,
2.63307,MOT_mc_stage_color_00,r,,
2.96637,1,4-2,,
2.96637,2,4-2,,
2.96637,3,4-2,,
2.96637,4,4-2,,
2.96637,5,4-2,,
3.29967,1,hj2,,
3.29967,2,hj2,,
3.29967,3,hj2,,
3.29967,4,hj2,,
3.29967,5,hj2,,
3.8662799999999997,1,j2-3,,
3.93294,2,sp2-3,,
3.93294,3,sp2-3,,
3.93294,4,sp2-3,,
3.93294,5,sp2-3,,
4.36623,1,hj3,,
4.36623,2,hj3,,
4.36623,3,hj3,,
4.36623,4,hj3,,
4.36623,5,hj3,,
5.099489999999999,1,j3-2,,
5.099489999999999,2,j3-2,,
5.099489999999999,3,j3-2,,
5.099489999999999,4,j3-2,,
5.099489999999999,5,j3-2,,
5.5994399999999995,1,2-3,,
5.5994399999999995,2,2-3,,
5.5994399999999995,3,2-3,,
5.5994399999999995,4,2-3,,
5.5994399999999995,5,2-3,,
5.93274,1,hj3,,
5.93274,2,hj3,,
5.93274,3,hj3,,
5.93274,4,hj3,,
5.93274,5,hj3,,
6.366029999999999,1,sp3-4,,
6.466019999999999,2,j3-4,,
6.466019999999999,3,j3-4,,
6.466019999999999,4,j3-4,,
6.466019999999999,5,j3-4,,
6.89931,1,hj4,,
6.89931,2,hj4,,
6.89931,3,hj4,,
6.89931,4,hj4,,
6.89931,5,hj4,,
7.79922,1,j4-1,,
7.79922,2,j4-1,,
7.79922,3,j4-1,,
7.79922,4,j4-1,,
7.79922,5,j4-1,,
8.29917,1,1-2,,
8.29917,2,1-2,,
8.29917,3,1-2,,
8.29917,4,1-2,,
8.29917,5,1-2,,
8.63247,1,hj2,,
8.63247,2,hj2,,
8.63247,3,hj2,,
8.63247,4,hj2,,
8.63247,5,hj2,,
9.16575,1,j2-3,,
9.23241,2,sp2-3,,
9.23241,3,sp2-3,,
9.23241,4,sp2-3,,
9.23241,5,sp2-3,,
9.6657,1,hj3,,
9.6657,2,hj3,,
9.6657,3,hj3,,
9.6657,4,hj3,,
9.6657,5,hj3,,
10.43229,1,j3-1,,
10.43229,2,j3-1,,
10.43229,3,j3-1,,
10.43229,4,j3-1,,
10.43229,5,j3-1,,
10.93224,1,1-3,,
10.93224,2,1-3,,
10.93224,3,1-3,,
10.93224,4,1-3,,
10.93224,5,1-3,,
11.26554,1,hj3,,
11.26554,2,hj3,,
11.26554,3,hj3,,
11.26554,4,hj3,,
11.26554,5,hj3,,
11.69883,1,sp3-4,,
11.79882,2,j3-4,,
11.79882,3,j3-4,,
11.79882,4,j3-4,,
11.79882,5,j3-4,,
12.232109999999999,1,hj4,,
12.232109999999999,2,hj4,,
12.232109999999999,3,hj4,,
12.232109999999999,4,hj4,,
