0.03333,MOT_mc_bg_black_00,stay,,
0.03333,1,w1,,
0.03333,2,w1,,
0.03333,3,w1,,
0.03333,4,w1,,
0.03333,5,w1,,
2.53308,1,1-4,,
2.63307,MOT_mc_bg_black_00,b80-65,,
2.63307,MOT_mc_light_center_00,l2,,
2.63307,MOT_mc_light_under_00,l2,,
2.63307,MOT_mc_light_up_00,l1,,
2.63307,MOT_speaker_00,temp4,,
2.86638,1,w4,,
4.0329299999999995,2,1-4,,
4.0329299999999995,4,1-4,,
4.36623,2,w4,,
4.36623,4,w4,,
5.36613,3,1-4,,
5.36613,5,1-4,,
5.6661,3,w4,,
5.6661,5,w4,,
6.63267,1,j4-2,,
6.63267,2,j4-2,,
6.63267,3,j4-2,,
6.63267,4,j4-2,,
6.63267,5,j4-2,,
7.132619999999999,1,w2,,
7.132619999999999,2,w2,,
7.132619999999999,3,w2,,
7.132619999999999,4,w2,,
7.132619999999999,5,w2,,
8.09919,4,2-4,,
8.43249,4,w4,,
8.665799999999999,2,2-4,,
8.9991,2,w4,,
9.29907,3,2-4,,
9.63237,3,w4,,
9.93234,5,2-4,,
10.26564,5,w4,,
10.598939999999999,1,2-3,,
10.598939999999999,2,4-3,,
10.598939999999999,3,4-3,,
10.598939999999999,4,4-3,,
10.598939999999999,5,4-3,,
11.03223,1,j3-2,,
11.03223,2,j3-2,,
11.03223,3,j3-2,,
11.03223,4,j3-2,,
11.03223,5,j3-2,,
11.53218,1,lp2,,
11.53218,2,lp2,,
11.53218,3,lp2,,
11.53218,4,lp2,,
11.53218,5,lp2,,
13.49865,1,,,f1
13.59864,MOT_mc_bg_black_00,b65-45,,
13.59864,MOT_mc_stage_color_00,r,,
13.59864,MOT_mc_light_up_00,l2,,
15.365129999999999,1,,l1,
15.79842,1,,l2,
16.23171,1,,l3,
16.46502,1,sp2-3,,
17.23161,1,sj2,,
17.731559999999998,1,j2-1,,
17.731559999999998,2,j2-1,,
17.731559999999998,3,j2-1,,
17.731559999999998,4,j2-1,,
17.731559999999998,5,j2-1,,
18.23151,1,lp1,,
18.23151,2,w1,,
18.23151,3,w1,,
