3.53298,MOT_mc_stage_color_00,start,,
3.53298,1,lp1,,
3.53298,2,lp1,,
3.53298,3,lp1,,
5.36613,2,1-2,,
5.53278,1,1-2,,
5.6994299999999996,3,1-2,,
5.9994,3,sp2-3,,
6.166049999999999,1,sp2-3,,
6.3327,2,sp2-3,,
6.9993,1,3-1,,
6.9993,2,3-1,,
6.9993,3,3-1,,
7.8325499999999995,1,1-2,,
7.8325499999999995,2,1-2,,
7.8325499999999995,3,1-2,,
8.3325,2,,l1,
8.3325,3,,r1,
8.565809999999999,1,2-3,,
8.565809999999999,2,2-3,,
8.565809999999999,3,2-3,,
9.56571,1,3-4,,
9.56571,2,3-4,,
9.56571,3,3-4,,
10.03233,2,,lb0,
10.03233,3,,rb0,
10.26564,1,4-2,,
10.26564,2,4-2,,
10.26564,3,4-2,,
10.76559,1,lp2,,
10.76559,2,lp2,,
10.76559,3,lp2,,
11.3322,1,2-1,,
11.3322,2,2-1,,
11.3322,3,2-1,,
11.832149999999999,2,,l1,
11.832149999999999,3,,r1,
12.06546,2,,l2,
12.06546,3,,r2,
12.29877,1,1-4,,
12.29877,2,1-4,,
12.29877,3,1-4,,
12.59874,1,j4-2,,
12.732059999999999,2,j4-2,,
12.86538,3,j4-2,,
13.16535,2,w2,lb1,
13.16535,3,w2,rb1,
13.431989999999999,1,j2-3,,
13.431989999999999,2,j2-3,,
13.431989999999999,3,j2-3,,
13.965269999999999,1,w3,,
13.965269999999999,2,w3,,
13.965269999999999,3,w3,,
14.73186,2,,lb0,
14.73186,3,,rb0,
15.065159999999999,1,3-4,,
15.065159999999999,2,3-4,,
15.065159999999999,3,3-4,,
15.465119999999999,1,lp4,l1,
15.465119999999999,2,lp4,l1,
15.465119999999999,3,lp4,l1,
15.765089999999999,1,,l2,
15.765089999999999,2,,l2,
15.765089999999999,3,,l2,
16.06506,1,,l3,
16.06506,2,,l3,
16.06506,3,,l3,
16.76499,1,4-1,,
16.76499,2,4-1,,
16.76499,3,4-1,,
17.131619999999998,1,lp1,,
17.131619999999998,2,lp1,,
17.131619999999998,3,lp1,,
17.23161,1,,lb2,
17.23161,2,,lb2,
17.23161,3,,lb2,
17.49825,1,,lb1,
17.49825,2,,lb1,
17.49825,3,,lb1,
17.79822,1,,lb0,
17.79822,2,,lb0,
17.79822,3,,lb0,
18.59814,1,j1-2,,
18.93144,2,j1-2,,
19.23141,3,j1-2,,
19.564709999999998,1,sp2-3,,
19.564709999999998,2,sp2-3,,
19.564709999999998,3,sp2-3,,
21.06456,1,3-4,,
21.06456,2,3-1,l1,
21.06456,3,3-1,r1,
21.73116,1,4-3,,f1
21.73116,2,w1,,
21.73116,3,w1,,
22.197779999999998,1,lp3,,
23.29767,1,3-2,,
23.93094,1,sj2,,
24.3309,1,lp2,,
24.53088,2,1-2,,
24.79752,3,1-2,,
25.3308,1,2-3,,
25.3308,2,w2,,
25.3308,3,w2,,
25.73076,1,lp3,,
25.93074,1,,r1,
26.264039999999998,1,,r2,
26.59734,1,,r3,
27.39726,1,j3-1,,
27.730559999999997,1,lp1,,
27.79722,1,,rb2,
28.097189999999998,1,,rb1,
28.43049,1,,rb0,
28.83045,3,2-3,,f1
28.83045,1,w1,,
29.56371,3,sj3,,
30.26364,3,sp3-4,,
30.9969,3,sj4,,
30.9969,2,2-3,,f1
30.9969,1,1-3,,
31.23021,2,,r1,
31.46352,2,w3,r2,
31.46352,1,w3,r1,
31.69683,2,,r3,
31.69683,1,,r2,
31.89681,3,4-1,,
31.963469999999997,2,,r4,
31.963469999999997,1,,r3,
32.263439999999996,1,3-1,,
32.49675,2,3-1,,
32.86338,1,lp1,,
32.86338,2,lp1,,
32.86338,3,lp1,,
33.863279999999996,3,1-3,,
33.9966,1,1-3,,
34.09659,2,1-3,,
34.329899999999995,3,3-2,,
34.46322,1,3-2,,
34.59654,2,3-2,,
34.96317,1,sj2,,
34.96317,2,sj2,,
34.96317,3,sj2,,
35.3298,1,sj2,,
35.3298,2,sj2,,
35.3298,3,sj2,,
35.6631,1,w2,,
35.6631,2,w2,,
35.6631,3,w2,,
36.16305,1,,,b0
36.16305,2,2-1,,
36.16305,3,,,b0
36.56301,2,lp1,,
36.762989999999995,2,,rb3,
37.129619999999996,2,,rb2,
37.46292,2,,rb1,
37.86288,2,1-3,rb0,
38.22951,2,lp3,,
39.89601,2,3-2,,
40.395959999999995,2,sp2-3,,
41.06256,2,sj3,,
41.82915,2,3-1,,
42.22911,2,lp1,,
42.862379999999995,1,,rb2,
43.12902,1,,rb1,
43.39566,1,2-4,rb0,f1
43.79562,2,1-4,,
44.16225,3,2-4,rb0,f1
44.56221,1,4-2,,
44.56221,2,4-2,,
44.56221,3,4-2,,
44.96217,1,lp2,,
44.96217,2,lp2,,
44.96217,3,lp2,,
45.595439999999996,1,,l1,
45.595439999999996,2,,l1,
45.595439999999996,3,,l1,
46.12872,1,,lb0,
46.12872,2,,lb0,
46.12872,3,,lb0,
46.59534,1,,l1,
46.59534,2,,l1,
46.59534,3,,l1,
47.06196,1,,lb0,
47.06196,2,,lb0,
47.06196,3,,lb0,
47.228609999999996,1,2-3,,
47.36193,2,2-3,,
47.49525,3,2-3,,
47.728559999999995,1,sp3-4,,
47.728559999999995,2,sp3-4,,
