0.03333,MOT_all,start,,
0.1,1,sort,-9000,
0.1,2,sort,-9000,
0.1,3,sort,-9000,
0.1,4,sort,-9000,
0.1,5,sort,-9000,
2.56641,1,1-2,,
2.56641,2,1-2,,
2.56641,3,1-2,,
2.56641,4,1-2,,
2.56641,5,1-2,,
2.73306,MOT_mc_light_under_00,l1,,
2.73306,MOT_mc_light_up_00,l1,,
2.73306,MOT_all,cut1_01,,
2.89971,1,lp2,,
2.89971,2,lp2,,
2.89971,3,lp2,,
2.89971,4,lp2,,
2.89971,5,lp2,,
5.26614,1,2-3,,
5.26614,2,2-3,,
5.26614,3,2-3,,
5.26614,4,2-3,,
5.26614,5,2-3,,
5.5994399999999995,1,lp3,,
5.5994399999999995,2,lp3,,
5.5994399999999995,3,lp3,,
5.5994399999999995,4,lp3,,
5.5994399999999995,5,lp3,,
7.56591,MOT_all,cut1_02,,
7.9992,1,3-4,,
7.9992,2,3-4,,
7.9992,3,3-4,,
7.9992,4,3-4,,
7.9992,5,3-4,,
8.39916,1,lp4,,
8.39916,2,lp4,,
8.39916,3,lp4,,
8.39916,4,lp4,,
8.39916,5,lp4,,
9.93234,1,4-2,,
9.93234,2,4-2,,
9.93234,3,4-2,,
9.93234,4,4-2,,
9.93234,5,4-2,,
10.3323,1,lp2,,
10.3323,2,lp2,,
10.3323,3,lp2,,
10.3323,4,lp2,,
10.3323,5,lp2,,
10.56561,MOT_mc_light_up_00,l2,,
10.73226,1,sp2-3,,
10.73226,2,sp2-3,,
10.73226,3,sp2-3,,
10.73226,4,sp2-3,,
10.73226,5,sp2-3,,
11.3322,1,hj3,,
11.3322,2,hj3,,
11.3322,3,hj3,,
11.3322,4,hj3,,
11.3322,5,hj3,,
11.53218,MOT_mc_bg_sky,cut1_01,,
11.79882,1,lp3,,
11.79882,2,lp3,,
11.79882,3,lp3,,
11.79882,4,lp3,,
11.79882,5,lp3,,
11.86548,MOT_mc_special_01,cut1_01,,
11.86548,MOT_mc_stage_color_00,stay2,,
13.331999999999999,MOT_all,cut1_03,,
13.46532,1,3-4,,
13.46532,2,3-4,,
13.46532,3,3-4,,
13.46532,4,3-4,,
13.46532,5,3-4,,
13.79862,1,lp4,,
13.79862,2,lp4,,
13.79862,3,lp4,,
13.79862,4,lp4,,
13.79862,5,lp4,,
14.165249999999999,1,,l1,
14.165249999999999,2,,l1,
14.165249999999999,3,,l1,
14.165249999999999,4,,l1,
14.165249999999999,5,,l1,
14.49855,1,,l2,
14.49855,2,,l2,
14.49855,3,,l2,
14.49855,4,,l2,
14.49855,5,,l2,
15.19848,1,4-3,,
15.19848,2,4-3,,
15.19848,3,4-3,,
15.19848,4,4-3,,
15.19848,5,4-3,,
15.53178,1,,lb1,
15.53178,2,,lb1,
15.53178,3,,lb1,
15.53178,4,,lb1,
15.53178,5,,lb1,
15.83175,1,,lb0,
15.83175,2,,lb0,
15.83175,3,,lb0,
15.83175,4,,lb0,
15.83175,5,,lb0,
16.29837,1,3-2,,
16.29837,2,3-2,,
16.29837,3,3-2,,
16.29837,4,3-2,,
16.29837,5,3-2,,
16.63167,1,lp2,,
16.63167,2,lp2,,
16.63167,3,lp2,,
16.63167,4,lp2,,
16.63167,5,lp2,,
16.9983,1,,r1,
16.9983,2,,r1,
16.9983,3,,r1,
16.9983,4,,r1,
16.9983,5,,r1,
17.331599999999998,1,,r2,
17.331599999999998,2,,r2,
17.331599999999998,3,,r2,
17.331599999999998,4,,r2,
17.331599999999998,5,,r2,
17.89821,1,2-1,,
17.89821,2,2-1,,
17.89821,3,2-1,,
17.89821,4,2-1,,
17.89821,5,2-1,,
18.19818,1,lp1,,
18.19818,2,lp1,,
18.19818,3,lp1,,
18.19818,4,lp1,,
18.19818,5,lp1,,
18.3315,1,,rb1,
18.3315,2,,rb1,
18.3315,3,,rb1,
18.3315,4,,rb1,
18.3315,5,,rb1,
18.6648,1,,rb0,
18.6648,2,,rb0,
18.6648,3,,rb0,
18.6648,4,,rb0,
18.6648,5,,rb0,
19.03143,1,,l1,
19.03143,2,,l1,
19.03143,3,,l1,
19.03143,4,,l1,
19.03143,5,,l1,
20.3313,1,,lb0,
20.3313,2,,lb0,
20.3313,3,,lb0,
20.3313,4,,lb0,
20.3313,5,,lb0,
20.997899999999998,1,,l1,
20.997899999999998,2,,l1,
20.997899999999998,3,,l1,
20.997899999999998,4,,l1,
20.997899999999998,5,,l1,
21.69783,1,,lb0,
21.69783,2,,lb0,
21.69783,3,,lb0,
21.69783,4,,lb0,
21.69783,5,,lb0,
22.29777,1,1-2,,
22.46442,2,1-2,,
22.46442,3,1-2,,
22.6644,4,1-2,,
22.6644,5,1-2,,
22.96437,1,2-3,,
22.96437,2,2-3,,
22.96437,3,2-3,,
22.96437,4,2-3,,
22.96437,5,2-3,,
23.29767,1,lp3,,
23.29767,2,lp3,,
23.29767,3,lp3,,
23.29767,4,lp3,,
23.29767,5,lp3,,
23.76429,1,sj3,,
23.76429,2,sj3,,
23.76429,3,sj3,,
23.76429,4,sj3,,
23.76429,5,sj3,,
24.13092,1,sj3,,
24.13092,2,sj3,,
24.13092,3,sj3,,
24.13092,4,sj3,,
24.13092,5,sj3,,
24.56421,2,3-1,,f1
24.56421,2,sort,-9000,
24.56421,1,w3,,
24.56421,3,w3,,
24.56421,4,w3,,
24.56421,5,w3,,
24.630869999999998,MOT_control_all,cut2_01,,
24.93084,2,lp1,,
28.06386,1,3-1,,
28.06386,4,3-1,,
28.06386,5,3-1,,
28.63047,1,w1,l1,
28.63047,4,w1,l1,
28.63047,5,w1,l1,
29.16375,2,1-4,,
29.297069999999998,1,,lb0,
29.297069999999998,4,,lb0,
29.297069999999998,5,,lb0,
29.530379999999997,2,lp4,,
31.29687,2,4-2,,
31.6635,2,lp2,,
32.13012,2,2-3,,
32.53008,2,lp3,,
32.73006,2,,l1,
33.063359999999996,2,3-4,,
33.23001,2,,lb0,
33.76329,2,,l1,
34.42989,2,4-3,,
34.59654,2,,lb0,
35.26314,MOT_control_all,cut2_02,,
35.26314,2,3-1,,b0
35.26314,2,sort,-9000,
35.36313,3,1-2,,f1
35.36313,3,sort,-9000,
35.72976,2,w1,,
35.72976,1,w1,,
35.72976,4,w1,,
35.72976,5,w1,,
35.72976,3,lp2,,
38.92944,3,2-1,,
39.3294,3,lp1,,
40.16265,3,1-2,,
40.795919999999995,3,,r1,
41.49585,3,,rb0,
41.89581,3,2-4,,
42.29577,3,lp4,,
43.42899,3,j4-1,,
43.52898,1,j3-4,,
43.52898,2,j1-4,,
43.52898,4,j3-4,,
43.52898,5,j3-4,,
44.12892,3,1-2,,
44.12892,1,w4,,
44.12892,2,w4,,
44.12892,4,w4,,
44.12892,5,w4,,
44.49555,3,lp2,,
44.92884,3,sp2-3,,
46.39536,3,2-1,,
46.79532,3,lp1,,
47.56191,3,1-4,,b0
47.56191,3,sort,-9000,
47.56191,5,4-1,,f1
47.56191,5,sort,-9000,
47.9952,3,w4,,
47.9952,1,w4,,
47.9952,2,w4,,
47.9952,4,w4,,
47.9952,5,lp1,,
48.19518,MOT_control_all,cut3_01,,
49.56171,3,4-1,,
49.56171,2,4-1,,
49.995,3,lp1,,
49.995,2,lp1,,
49.995,5,w1,,
49.995,1,w4,,
49.995,4,w4,,
50.39496,5,,,b0
50.39496,5,sort,-9000,
50.72826,1,4-2,,f1
50.72826,1,sort,-9000,
50.79492,MOT_control_all,cut3_02,,
51.09489,1,lp2,,
51.09489,3,w1,,
51.09489,2,w1,,
51.09489,5,w1,,
51.09489,4,w4,,
52.561409999999995,1,sp2-3,,
53.06136,1,sj3,,
53.427989999999994,1,3-1,,b0
53.427989999999994,4,4-1,,f1
53.427989999999994,1,sort,-9000,
53.427989999999994,4,sort,-9000,
53.59464,MOT_control_all,cut3_03,,
53.794619999999995,4,lp1,,
53.794619999999995,3,w1,,
53.794619999999995,2,w1,,
53.794619999999995,5,w1,,
53.794619999999995,1,w1,,
54.42789,4,1-2,,
54.79452,4,lp2,,
57.027629999999995,MOT_control_all,cut3_04,,
57.027629999999995,4,2-3,,
57.027629999999995,5,1-3,,f1
57.027629999999995,1,1-3,,f1
57.027629999999995,5,sort,-9000,
57.027629999999995,1,sort,-9000,
57.427589999999995,5,lp3,,
57.427589999999995,1,lp3,,
57.427589999999995,4,lp3,,
58.227509999999995,4,,r1,
58.227509999999995,5,,l1,
58.49415,2,,r1,
58.49415,3,,l1,
58.76079,4,,r2,
58.76079,5,,l2,
59.027429999999995,2,,r2,
59.027429999999995,3,,l2,
59.927339999999994,5,sp3-4,,
59.927339999999994,1,sp3-4,,
59.927339999999994,4,sp3-4,,
60.193979999999996,MOT_control_all,cut4_01,,
60.193979999999996,3,1-4,,f1
60.193979999999996,2,1-4,,f1
60.193979999999996,2,sort,-9000,
60.193979999999996,3,sort,-9000,
60.260639999999995,MOT_mc_stage_color_00,l1,,
60.593939999999996,1,hj4,,
60.593939999999996,2,hj4,,
60.593939999999996,3,hj4,,
60.593939999999996,4,hj4,,
60.593939999999996,5,hj4,,
61.127219999999994,1,4-1,,f2
61.127219999999994,2,4-1,,f2
61.127219999999994,3,4-1,,f2
61.127219999999994,4,4-1,,f2
61.127219999999994,5,4-1,,f2
61.127219999999994,1,sort,-9000,
61.127219999999994,2,sort,-9000,
61.127219999999994,3,sort,-9000,
61.127219999999994,4,sort,-9000,
61.127219999999994,5,sort,-9000,
61.493849999999995,1,lp1,,
61.493849999999995,2,lp1,,
61.493849999999995,3,lp1,,
61.493849999999995,4,lp1,,
61.493849999999995,5,lp1,,
61.69383,2,,rb1,
61.69383,3,,lb1,
61.69383,4,,rb1,
61.69383,5,,lb1,
62.09379,2,,rb0,
62.09379,3,,lb0,
62.09379,4,,rb0,
62.09379,5,,lb0,
62.49375,2,,l1,
62.49375,3,,r1,
62.49375,4,,l1,
62.49375,5,,r1,
62.59374,1,1-2,,
62.92704,2,1-2,,
62.92704,3,1-2,,
63.19368,1,sp3-4,,
63.29367,4,1-2,,
63.29367,5,1-2,,
63.560309999999994,1,sp3-4,,
63.560309999999994,2,sp3-4,,
63.560309999999994,3,sp3-4,,
63.560309999999994,4,sp3-4,,
63.560309999999994,5,sp3-4,,
63.926939999999995,1,sj4,,
63.926939999999995,2,sj4,,
63.926939999999995,3,sj4,,
63.926939999999995,4,sj4,,
63.926939999999995,5,sj4,,
64.36023,1,j4-2,,
64.76019,2,j4-2,,
64.76019,3,j4-2,,
64.76019,1,w2,,
65.26013999999999,4,j4-2,,
65.26013999999999,5,j4-2,,
65.26013999999999,2,w2,,
65.26013999999999,3,w2,,
65.49345,2,,lb0,
65.49345,3,,rb0,
65.76008999999999,4,,lb0,
65.76008999999999,5,,rb0,
66.06006,1,sp2-3,,
66.06006,2,sp2-3,,
66.06006,3,sp2-3,,
66.06006,4,sp2-3,,
66.06006,5,sp2-3,,
66.52668,1,sj3,,
66.52668,2,sj3,,
66.52668,3,sj3,,
66.52668,4,sj3,,
66.52668,5,sj3,,
66.92663999999999,1,lp3,,
66.92663999999999,2,lp3,,
66.92663999999999,3,lp3,,
66.92663999999999,4,lp3,,
66.92663999999999,5,lp3,,
67.22661,1,3-4,,
67.22661,2,3-4,,
67.22661,3,3-4,,
67.22661,4,3-4,,
67.22661,5,3-4,,
67.62657,1,lp4,,
67.62657,2,lp4,,
67.62657,3,lp4,,
67.62657,4,lp4,,
67.62657,5,lp4,,
67.9932,4,,l1,
67.9932,5,,r1,
68.19318,2,,l1,
68.19318,3,,r1,
68.52647999999999,4,,l2,
68.52647999999999,5,,r2,
68.72646,2,,l2,
68.72646,3,,r2,
69.19308,1,4-1,,
69.19308,2,4-1,,
69.19308,3,4-1,,
69.19308,4,4-1,,
69.19308,5,4-1,,
69.55971,1,lp1,,
69.55971,2,lp1,,
69.55971,3,lp1,,
69.55971,4,lp1,,
69.55971,5,lp1,,
70.09299,1,1-2,,
70.09299,2,1-2,,
70.09299,3,1-2,,
70.09299,4,1-2,,
70.09299,5,1-2,,
70.49295,1,lp2,,
70.49295,2,lp2,,
70.49295,3,lp2,,
70.49295,4,lp2,,
70.49295,5,lp2,,
70.85958,4,j2-3,,
70.85958,5,j2-3,,
70.99289999999999,4,,lb1,
70.99289999999999,5,,rb1,
71.12622,2,j2-3,,
71.12622,3,j2-3,,
71.25954,2,,lb1,
71.25954,3,,rb1,
71.39286,1,j2-3,,
71.72616,1,3-4,,
71.72616,2,3-4,,
71.72616,3,3-4,,
71.72616,4,3-4,,
71.72616,5,3-4,,
72.15944999999999,1,hj4,,
72.15944999999999,2,hj4,,
72.15944999999999,3,hj4,,
