time,lyrics,size
0.00 ,,
12.417 ,Hi! Good Morning!!,
15.233 ,準備はいいかい?,
18.150 ,カーテン開けたら　君とのShowタイム,
24.300 ,遊ぼう遊ぼう ! 笑おう笑おう !,
34.180,,
35.550 ,待ってたの　わたしたち,
38.217 ,本当は君のことを　いっぱい期待して,
44.600 ,（いなくならないで ! ）,
47.017 ,最初から何だってできるわけじゃないけれど,
52.650 ,元気をシェアして,
55.733 ,ゼッタイゼッタイゼッタイ成長するんだ,
61.050 ,ちょっとだけのプロフィール,
63.900 ,いつかいっぱい書きたいな,
67.400 ,だから目いっぱいはしゃいじゃって,
69.933,いいの?! いいの??! いいの???!,
73.817,（いいよ !! ）,
74.650,ドレミが君に　遊ぼう遊ぼう,
77.467,キラキラな夢　描こう描こう,
80.333,誘っているよ　かわいいメロディー響かせて,
86.083,ドレミのように　踊ろう踊ろう,
88.967,胸がはずむよ　高く高く,
91.833,このステージが大好きだから,
95.650,手を重ねて一緒に飛び出そう,
100.100,今すぐに,
101.900,遊ぼう遊ぼう ! 楽しい楽しい !,
112.250,,
113.150,How do you feel now??,
115.883,好きになったでしょ?!,
118.967,ずっと続くよ　わたしたちのShowタイム,
125.642,,
