0.06666,MOT_mc_stage_color_00,open,,
3.3329999999999997,MOT_mc_light_center_00,l1,,
6.59934,5,1-2,,f1
6.9993,5,w2,,
9.13242,2,1-2,,f1
9.53238,2,w2,,
9.53238,5,w2,,
11.9988,4,1-2,,f1
12.39876,2,w2,,
12.39876,4,w2,,
12.39876,5,w2,,
14.83185,3,1-2,,f1
15.23181,2,w2,,
15.23181,3,w2,,
15.23181,4,w2,,
15.23181,5,w2,,
17.59824,1,1-2,,f1
18.03153,1,w2,,
19.3314,1,2-4,,
19.73136,1,w4,,
19.73136,2,2-4,,
19.964669999999998,3,2-4,,
20.197979999999998,4,2-4,,
20.43129,5,2-4,,
20.6646,1,4-3,,
20.86458,2,4-3,,
21.03123,3,4-3,,
21.197879999999998,4,4-3,,
21.3312,5,4-3,,
21.56451,MOT_mc_light_up_00,l1,,
21.56451,MOT_mc_bg_black_00,b80-45,,
21.56451,MOT_mc_light_under_00,l1,,
21.76449,1,3-2,,
21.76449,2,3-2,,
21.76449,3,3-2,,
21.76449,4,3-2,,
21.76449,5,3-2,,
22.16445,1,lp2,,
22.16445,2,lp2,,
22.16445,3,lp2,,
22.16445,4,lp2,,
22.16445,5,lp2,,
23.031029999999998,2,,l1,
23.031029999999998,3,,r1,
23.031029999999998,4,,l1,
23.031029999999998,5,,r1,
23.59764,2,,l2,
23.59764,3,,r2,
23.59764,4,,l2,
23.59764,5,,r2,
23.93094,1,2-3,,
23.93094,2,2-3,,
23.93094,3,2-3,,
23.93094,4,2-3,,
23.93094,5,2-3,,
24.36423,1,lp3,,
24.36423,2,lp3,,
24.36423,3,lp3,,
24.36423,4,lp3,,
24.36423,5,lp3,,
24.830849999999998,1,3-4,,
24.93084,2,3-4,,
24.93084,3,3-4,,
25.030829999999998,4,3-4,,
25.030829999999998,5,3-4,,
25.3308,1,lp4,,
25.3308,2,lp4,,
25.3308,3,lp4,,
25.3308,4,lp4,,
25.3308,5,lp4,,
26.497349999999997,2,,lb1,
26.497349999999997,3,,rb1,
26.497349999999997,4,,lb1,
26.497349999999997,5,,rb1,
26.73066,2,4-3,,
26.73066,3,4-3,,
27.56391,2,,lb0,
27.56391,3,,rb0,
27.56391,4,,lb0,
27.56391,5,,rb0,
27.79722,4,4-3,,
27.79722,5,4-3,,
28.297169999999998,1,4-1,,
28.497149999999998,2,3-1,,
28.697129999999998,3,3-1,,
28.897109999999998,4,3-1,,
29.097089999999998,5,3-1,,
29.330399999999997,1,lp1,,
29.330399999999997,2,lp1,,
29.330399999999997,3,lp1,,
29.330399999999997,4,lp1,,
29.330399999999997,5,lp1,,
29.730359999999997,1,,,b0
29.730359999999997,2,,,b0
29.730359999999997,3,,,b0
29.730359999999997,4,,,b0
29.730359999999997,5,,,b0
29.963669999999997,1,1-2,,
30.163649999999997,2,1-2,,
30.163649999999997,3,1-2,,
30.39696,4,1-2,,
30.39696,5,1-2,,
30.730259999999998,1,lp2,,
30.730259999999998,2,lp2,,
30.730259999999998,3,lp2,,
30.730259999999998,4,lp2,,
30.730259999999998,5,lp2,,
31.6635,1,,l1,
31.6635,2,,l1,
31.6635,3,,l1,
31.6635,4,,l1,
31.6635,5,,l1,
32.663399999999996,1,,lb0,
32.663399999999996,2,,lb0,
32.663399999999996,3,,lb0,
32.663399999999996,4,,lb0,
32.663399999999996,5,,lb0,
33.29667,4,2-1,,
33.463319999999996,2,2-1,,
33.62997,1,2-1,,
33.79662,3,2-1,,
33.9966,5,2-1,,
34.59654,1,1-4,,
34.59654,2,1-4,,
34.59654,3,1-4,,
34.59654,4,1-4,,
34.59654,5,1-4,,
35.063159999999996,4,4-2,,
35.063159999999996,5,4-2,,
35.29647,2,4-2,,
35.29647,3,4-2,,
35.529779999999995,1,4-2,,
35.929739999999995,1,w2,,
35.929739999999995,2,w2,,
35.929739999999995,3,w2,,
35.929739999999995,4,w2,,
35.929739999999995,5,w2,,
37.02963,1,2-1,,
37.02963,2,2-1,,
37.02963,3,2-1,,
37.02963,4,2-1,,
37.02963,5,2-1,,
37.896209999999996,1,1-4,,
37.896209999999996,2,1-4,,
37.896209999999996,3,1-4,,
37.896209999999996,4,1-4,,
37.896209999999996,5,1-4,,
38.329499999999996,1,w4,,
38.329499999999996,2,w4,,
38.329499999999996,3,w4,,
38.329499999999996,4,w4,,
38.329499999999996,5,w4,,
39.09609,1,4-2,,f1
39.09609,5,4-2,,f1
39.36273,MOT_mc_bg_black_00,b45-65,,
39.36273,MOT_mc_light_up_00,l2,,
39.49605,1,lp2,,
39.49605,5,lp2,,
43.42899,1,2-3,,
43.42899,5,2-3,,
43.89561,1,lp3,,
43.89561,5,lp3,,
47.228609999999996,1,3-1,,b0
47.228609999999996,5,3-1,,b0
47.695229999999995,2,4-2,,f1
47.695229999999995,4,4-2,,f1
47.695229999999995,1,w1,,
47.695229999999995,5,w1,,
47.695229999999995,3,w4,,
48.16185,2,lp2,,
48.16185,4,lp2,,
51.26154,4,2-3,,
51.46152,2,2-3,,
51.794819999999994,2,lp3,r1,
51.794819999999994,4,lp3,,
51.9948,4,,r1,
53.06136,2,,rb0,
53.26134,4,,rb0,
