0.03333,MOT_mc_stage_color_00,b,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,,,f1
0.03333,4,,,f1
0.03333,5,,,f1
0.43328999999999995,MOT_all,black,,
3.09969,MOT_mc_bg_black_00,seat100-0,,
3.49965,4,1-3,,
3.63297,2,1-3,,
3.7662899999999997,1,1-3,,
3.89961,3,1-3,,
4.0329299999999995,5,1-3,,
4.26624,1,w3,,
4.26624,2,w3,,
4.26624,3,w3,,
4.26624,4,w3,,
4.26624,5,w3,,
4.56621,1,3-2,l1,
4.56621,2,3-2,l1,
4.56621,3,3-2,l1,
4.56621,4,3-2,l1,
4.56621,5,3-2,l1,
4.899509999999999,1,w2,,
4.899509999999999,2,w2,,
4.899509999999999,3,w2,,
4.899509999999999,4,w2,,
4.899509999999999,5,w2,,
5.53278,5,2-4,,
5.6661,3,2-4,,
5.79942,1,2-4,,
5.93274,2,2-4,,
6.066059999999999,4,2-4,,
6.3327,1,w4,,
6.3327,2,w4,,
6.3327,3,w4,,
6.3327,4,w4,,
6.3327,5,w4,,
6.83265,1,4-1,lb0,
6.83265,2,4-1,lb0,
6.83265,3,4-1,lb0,
6.83265,4,4-1,lb0,
6.83265,5,4-1,lb0,
7.16595,1,w1,,
7.16595,2,w1,,
7.16595,3,w1,,
7.16595,4,w1,,
7.16595,5,w1,,
7.96587,4,1-3,,
7.96587,5,1-3,,
8.23251,2,1-3,,
8.23251,3,1-3,,
8.39916,4,w3,,
8.39916,5,w3,,
8.49915,1,1-3,,
8.59914,2,w3,,
8.59914,3,w3,,
8.83245,1,w3,,
8.93244,4,3-2,,
8.93244,5,3-2,,
9.23241,5,2-1,,
9.23241,4,2-1,,
9.23241,3,3-1,,
9.23241,2,3-1,,
9.23241,1,3-1,,
9.56571,1,w1,,
9.56571,2,w1,,
9.56571,3,w1,,
9.56571,4,w1,,
9.56571,5,w1,,
10.16565,1,sj1,,
10.16565,4,sj1,,
10.16565,5,sj1,,
10.398959999999999,2,sj1,,
10.398959999999999,3,sj1,,
10.63227,1,1-2,,
10.63227,2,1-2,,
10.63227,3,1-2,,
10.63227,4,1-2,,
10.63227,5,1-2,,
10.96557,1,lp2,,
10.96557,2,lp2,,
10.96557,3,lp2,,
10.96557,4,lp2,,
10.96557,5,lp2,,
12.332099999999999,MOT_control_all,intro,,
12.46542,1,2-4,,
12.46542,2,2-4,,
12.46542,3,2-4,,
12.46542,4,2-4,,
12.46542,5,2-4,,
12.69873,MOT_all,cut1,,
12.832049999999999,1,4-2,,
12.832049999999999,2,4-2,,
12.832049999999999,3,4-2,,
12.832049999999999,4,4-2,,
12.832049999999999,5,4-2,,
13.16535,1,lp2,,
13.16535,2,lp2,,
13.16535,3,lp2,,
13.16535,4,lp2,,
13.16535,5,lp2,,
13.731959999999999,1,,l1,
13.731959999999999,2,,l1,
13.731959999999999,3,,l1,
13.731959999999999,4,,l1,
13.731959999999999,5,,l1,
13.865279999999998,MOT_mc_bg_black_00,b80-45,,
13.865279999999998,MOT_mc_light_center_00,lp,,
14.43189,MOT_mc_stage_color_00,b-flash,,
14.59854,1,2-4,l2,
14.59854,2,2-4,l2,
14.59854,3,2-4,l2,
14.59854,4,2-4,l2,
14.59854,5,2-4,l2,
14.89851,1,lp4,l3,
14.89851,2,lp4,l3,
14.89851,3,lp4,l3,
14.89851,4,lp4,l3,
14.89851,5,lp4,l3,
15.465119999999999,MOT_mc_stage_color_00,b-r,,
16.09839,1,4-3,,
16.09839,2,4-3,,
16.09839,3,4-3,,
16.09839,4,4-3,,
16.09839,5,4-3,,
16.43169,1,lp3,,
16.43169,2,lp3,,
16.43169,3,lp3,,
16.43169,4,lp3,,
16.43169,5,lp3,,
18.764789999999998,MOT_mc_stage_color_00,r-flash,,
19.03143,1,3-1,lb2,
19.03143,2,3-1,lb2,
19.03143,3,3-1,lb2,
19.03143,4,3-1,lb2,
19.03143,5,3-1,lb2,
19.364729999999998,1,lp1,lb1,
19.364729999999998,2,lp1,lb1,
19.364729999999998,3,lp1,lb1,
19.364729999999998,4,lp1,lb1,
19.364729999999998,5,lp1,lb1,
19.69803,MOT_mc_stage_color_00,r-y,,
20.53128,1,,lb0,
20.53128,2,,lb0,
20.53128,3,,lb0,
20.53128,4,,lb0,
20.53128,5,,lb0,
21.3312,1,1-2,r1,
21.3312,2,1-2,r1,
21.3312,3,1-2,r1,
21.3312,4,1-2,r1,
21.3312,5,1-2,r1,
21.631169999999997,1,w2,,
21.631169999999997,2,w2,,
21.631169999999997,3,w2,,
21.631169999999997,4,w2,,
21.631169999999997,5,w2,,
22.13112,1,2-3,,
22.13112,2,2-3,,
22.13112,3,2-3,,
22.13112,4,2-3,,
22.13112,5,2-3,,
22.46442,1,w3,,
22.46442,2,w3,,
22.46442,3,w3,,
22.46442,4,w3,,
22.46442,5,w3,,
22.86438,1,3-1,rb0,
22.86438,2,3-1,rb0,
22.86438,3,3-1,rb0,
22.86438,4,3-1,rb0,
22.86438,5,3-1,rb0,
23.19768,1,w1,,
23.19768,2,w1,,
23.19768,3,w1,,
23.19768,4,w1,,
23.19768,5,w1,,
23.56431,1,1-2,,
23.69763,2,1-2,l1,
23.69763,3,1-2,r1,
23.96427,4,1-2,l1,
23.96427,5,1-2,r1,
23.96427,1,w2,,
24.19758,2,w2,,
24.19758,3,w2,,
24.49755,2,2-4,l2,
24.49755,3,2-4,r2,
24.76419,4,2-4,l2,
24.76419,5,2-4,r2,
24.864179999999998,2,w4,,
24.864179999999998,3,w4,,
24.864179999999998,1,2-4,,
25.13082,4,w4,,
