0.03333,MOT_all,cut1,,
0.03333,MOT_mc_light_up_00,stay,,
0.03333,6,,,b-1
0.03333,7,,,b-1
0.03333,8,,,b-1
0.03333,9,,,b-1
0.06666,1,w2,,
0.06666,2,w2,,
0.06666,3,w2,,
0.06666,4,w2,,
0.06666,5,w2,,
0.06666,6,w2,,
0.06666,7,w2,,
0.06666,8,w2,,
0.06666,9,w2,,
4.06626,MOT_all,cut2,,
4.06626,MOT_mc_bg_black_00,b80-45,,
4.26624,MOT_mc_light_under_00,on,,
4.26624,MOT_mc_speaker_00,temp1,,
4.26624,MOT_mc_stage_color_00,r-flashSP2,,
4.26624,MOT_mc_light_up_00,l2,,
4.26624,1,lp2,,
4.26624,2,lp2,,
4.26624,3,lp2,,
4.26624,4,lp2,,
4.26624,5,lp2,,
4.26624,6,lp2,,
4.26624,7,lp2,,
4.26624,8,lp2,,
4.26624,9,lp2,,
6.23271,1,2-3,,
6.5660099999999995,1,w3,,
6.79932,2,2-3,,
6.79932,3,2-3,,
7.132619999999999,2,w3,,
7.132619999999999,3,w3,,
7.36593,4,2-3,,
7.36593,5,2-3,,
7.6659,4,w3,,
7.6659,5,w3,,
7.89921,1,3-4,,
7.89921,2,3-4,,
7.89921,3,3-4,,
7.89921,4,3-4,,
7.89921,5,3-4,,
7.89921,6,3-4,,
7.89921,7,3-4,,
7.89921,8,3-4,,
7.89921,9,3-4,,
8.39916,1,lp4,,
8.39916,2,lp4,,
8.39916,3,lp4,,
8.39916,4,lp4,,
8.39916,5,lp4,,
8.39916,6,lp4,,
8.39916,7,lp4,,
8.39916,8,lp4,,
8.39916,9,lp4,,
8.9991,1,j4-3,,
8.9991,2,j4-3,,
8.9991,3,j4-3,,
8.9991,4,j4-3,,
8.9991,5,j4-3,,
8.9991,6,j4-3,,
8.9991,7,j4-3,,
8.9991,8,j4-3,,
8.9991,9,j4-3,,
9.36573,1,lp3,,
9.36573,2,lp3,,
9.36573,3,lp3,,
9.36573,4,lp3,,
9.36573,5,lp3,,
9.36573,6,lp3,,
9.36573,7,lp3,,
9.36573,8,lp3,,
9.36573,9,lp3,,
9.998999999999999,1,j3-2,,
9.998999999999999,2,j3-2,,
9.998999999999999,3,j3-2,,
9.998999999999999,4,j3-2,,
9.998999999999999,5,j3-2,,
9.998999999999999,6,j3-2,,
9.998999999999999,7,j3-2,,
9.998999999999999,8,j3-2,,
9.998999999999999,9,j3-2,,
10.398959999999999,1,lp2,,
10.398959999999999,2,lp2,,
10.398959999999999,3,lp2,,
10.398959999999999,4,lp2,,
10.398959999999999,5,lp2,,
10.398959999999999,6,lp2,,
10.398959999999999,7,lp2,,
10.398959999999999,8,lp2,,
10.398959999999999,9,lp2,,
11.198879999999999,1,j2-1,,
11.198879999999999,2,j2-1,,
11.198879999999999,3,j2-1,,
11.198879999999999,4,j2-1,,
11.198879999999999,5,j2-1,,
11.198879999999999,6,j2-1,,
11.198879999999999,7,j2-1,,
11.198879999999999,8,j2-1,,
11.198879999999999,9,j2-1,,
11.59884,1,lp1,,
11.59884,2,lp1,,
11.59884,3,lp1,,
11.59884,4,lp1,,
11.59884,5,lp1,,
11.59884,6,lp1,,
11.59884,7,lp1,,
11.59884,8,lp1,,
11.59884,9,lp1,,
12.89871,4,1-2,,
12.89871,5,1-2,,
12.89871,8,1-2,,
12.89871,9,1-2,,
13.132019999999999,MOT_all,cut3,,
13.26534,2,1-2,,
13.26534,3,1-2,,
13.26534,6,1-2,,
13.26534,7,1-2,,
13.6653,1,1-2,,
13.9986,1,2-3,,
13.9986,2,2-3,,
13.9986,3,2-3,,
13.9986,4,2-3,,
13.9986,5,2-3,,
14.3319,1,j3-4,,
14.3319,2,j3-4,,
14.3319,3,j3-4,,
14.3319,4,j3-4,,
14.3319,5,j3-4,,
14.3319,6,j2-4,,
14.3319,7,j2-4,,
14.3319,8,j2-4,,
14.3319,9,j2-4,,
15.065159999999999,1,4-1,l1,
15.065159999999999,2,4-1,l1,
15.065159999999999,3,4-1,l1,
15.065159999999999,4,4-1,l1,
15.065159999999999,5,4-1,l1,
15.065159999999999,6,4-1,l1,
15.065159999999999,7,4-1,l1,
15.065159999999999,8,4-1,l1,
15.065159999999999,9,4-1,l1,
15.565109999999999,1,1-2,lb0,
15.565109999999999,2,1-2,lb0,
15.565109999999999,3,1-2,lb0,
15.565109999999999,4,1-2,lb0,
15.565109999999999,5,1-2,lb0,
15.565109999999999,6,1-2,lb0,
15.565109999999999,7,1-2,lb0,
15.565109999999999,8,1-2,lb0,
15.565109999999999,9,1-2,lb0,
16.06506,1,2-3,r1,
16.06506,2,2-3,r1,
16.06506,3,2-3,r1,
16.06506,4,2-3,r1,
16.06506,5,2-3,r1,
16.06506,6,2-3,r1,
16.06506,7,2-3,r1,
16.06506,8,2-3,r1,
16.06506,9,2-3,r1,
16.56501,1,3-4,rb0,
16.56501,2,3-4,rb0,
16.56501,3,3-4,rb0,
16.56501,4,3-4,rb0,
16.56501,5,3-4,rb0,
16.56501,6,3-4,rb0,
16.56501,7,3-4,rb0,
16.56501,8,3-4,rb0,
16.56501,9,3-4,rb0,
16.9983,MOT_mc_bg_black_00,b45-65,,
17.06496,1,w4,,
17.06496,2,w4,,
17.06496,3,w4,,
17.06496,4,w4,,
17.06496,5,w4,,
17.06496,6,w4,,
17.06496,7,w4,,
17.06496,8,w4,,
17.06496,9,w4,,
17.29827,MOT_control_all,zoom1,,
17.69823,MOT_all,cut4,,
17.69823,MOT_mc_speaker_00,temp4,,
17.69823,MOT_mc_light_center_00,l1,,
17.69823,MOT_mc_stage_color_00,r-b,,
17.69823,6,4-1,,f0
18.09819,6,lp1,,
21.197879999999998,6,1-2,,
21.56451,6,sj2,,
21.96447,6,lp2,,
23.331,6,2-3,,
23.830949999999998,6,3-4,,
24.36423,6,sj4,,
24.89751,6,4-1,,
25.36413,6,sj1,,
25.83075,6,w1,,b-1
26.16405,7,j4-2,,f0
26.23071,MOT_control_all,zoom2,,
26.59734,7,sj2,,
26.96397,7,lp2,,
28.23051,7,,r1,
28.6638,7,2-3,,
29.03043,7,lp3,,
31.03023,7,3-3,,
31.43019,7,sj3,,
31.963469999999997,7,sj3,,
32.53008,7,,rb0,
33.03003,7,3-4,,
33.56331,7,4-1,,
34.02993,7,w1,,
34.329899999999995,7,sj1,,
34.76319,7,w1,,b-1
34.89651,MOT_control_all,zoom3,,
34.96317,8,,,f0
35.063159999999996,MOT_mc_light_up_00,l2,,
35.36313,8,4-1,,
35.72976,8,lp1,,
36.52968,8,hj1,,
37.129619999999996,8,w1,,
37.162949999999995,MOT_control_all,zoom4,,
37.19628,1,,,f1
37.59624,1,4-1,,
37.59624,8,,,b-1
37.962869999999995,1,lp1,,
38.762789999999995,1,hj1,,
39.162749999999996,MOT_control_all,zoom5,,
39.36273,1,w1,,
39.42939,9,,,f0
39.79602,9,4-1,,
39.79602,1,,,b0
40.16265,9,lp1,,
40.92924,9,hj1,,
41.39586,MOT_control_all,zoom6,,
41.52918,9,w1,,b-1
41.52918,4,,,
41.52918,5,,,
41.52918,2,hj4,,
41.52918,3,hj4,,
41.995799999999996,4,sj4,,
41.995799999999996,5,sj4,,
42.06246,MOT_all,cut5,,
42.3291,4,4-2,,
42.3291,5,4-2,,
42.3291,2,4-2,,
42.3291,3,4-2,,
42.59574,4,2-3,,
42.59574,5,2-3,,
42.59574,2,2-3,,
42.59574,3,2-3,,
43.06236,MOT_control_all,zoom7,,
43.162349999999996,4,3-4,,
43.162349999999996,5,3-4,,
43.162349999999996,2,3-4,,
43.162349999999996,3,3-4,,
43.162349999999996,6,1-4,,
43.162349999999996,7,1-4,,
43.162349999999996,8,1-4,,
43.162349999999996,1,1-4,,
43.162349999999996,9,1-4,,
43.329,MOT_mc_speaker_00,temp2,,
43.329,MOT_mc_bg_black_00,b65-45,,
43.595639999999996,1,j4-2,,
43.595639999999996,2,j4-2,,
43.595639999999996,3,j4-2,,
43.595639999999996,4,j4-2,,
43.595639999999996,5,j4-2,,
43.595639999999996,6,j4-2,,
43.595639999999996,7,j4-2,,
43.595639999999996,8,j4-2,,
43.595639999999996,9,j4-2,,
45.72876,1,,r1,
45.72876,2,,r1,
45.72876,3,,r1,
45.72876,4,,r1,
45.72876,5,,r1,
45.72876,6,,r1,
45.72876,7,,r1,
45.72876,8,,r1,
45.72876,9,,r1,
45.72876,6,2-3,,
45.72876,7,2-3,,
45.72876,8,2-3,,
45.72876,9,2-3,,
45.72876,1,w2,,
45.72876,4,w2,,
45.72876,5,w2,,
45.72876,2,w2,,
45.72876,3,w2,,
46.26204,1,,r2,
46.26204,2,,r2,
46.26204,3,,r2,
46.26204,4,,r2,
46.26204,5,,r2,
46.26204,6,,r2,
46.26204,7,,r2,
46.26204,8,,r2,
46.26204,9,,r2,
46.26204,6,lp3,,
46.26204,8,lp3,,
46.26204,7,lp3,,
46.26204,1,2-3,,
46.26204,9,lp3,,
46.26204,4,2-3,,
46.26204,5,2-3,,
46.26204,2,2-3,,
46.26204,3,2-3,,
46.79532,6,,,
46.79532,7,,,
46.79532,8,,,
46.79532,1,lp3,,
46.79532,9,,,
46.79532,4,lp3,,
46.79532,5,lp3,,
46.79532,2,lp3,,
46.79532,3,lp3,,
47.96187,4,j3-4,,
47.96187,6,3-3,,
47.96187,8,3-3,,
47.96187,7,3-3,,
47.96187,1,3-3,,
47.96187,9,3-3,,
47.96187,5,3-3,,
47.96187,2,3-3,,
47.96187,3,3-3,,
48.39516,6,w3,,
48.39516,7,w3,,
48.39516,8,w3,,
48.39516,1,w3,,
48.39516,9,w3,,
48.39516,5,w3,,
48.39516,2,w3,,
48.39516,3,w3,,
48.495149999999995,4,4-1,,
48.895109999999995,4,lp1,,
50.094989999999996,4,j1-2,,
50.59494,4,lp2,,
51.6615,4,2-3,,
52.06146,1,3-4,,
52.06146,2,3-4,,
52.06146,3,3-4,,
52.06146,4,3-4,,
52.06146,5,3-4,,
52.06146,6,3-4,,
52.06146,7,3-4,,
52.06146,8,3-4,,
52.06146,9,3-4,,
52.494749999999996,1,j4-2,,
52.494749999999996,2,j4-2,,
52.494749999999996,3,j4-2,,
52.494749999999996,4,j4-2,,
52.494749999999996,5,j4-2,,
52.494749999999996,6,j4-2,,
52.494749999999996,7,j4-2,,
52.494749999999996,8,j4-2,,
52.494749999999996,9,j4-2,,
54.627869999999994,1,,rb1,
54.627869999999994,2,,rb1,
54.627869999999994,3,,rb1,
54.627869999999994,4,,rb1,
54.627869999999994,5,,rb1,
54.627869999999994,6,,rb1,
54.627869999999994,7,,rb1,
54.627869999999994,8,,rb1,
54.627869999999994,9,,rb1,
54.627869999999994,6,2-3,,
54.627869999999994,7,2-3,,
54.627869999999994,8,2-3,,
54.627869999999994,1,w2,,
54.627869999999994,9,2-3,,
54.627869999999994,4,w2,,
54.627869999999994,5,w2,,
54.627869999999994,2,w2,,
54.627869999999994,3,w2,,
55.16115,1,,rb0,
55.16115,2,,rb0,
55.16115,3,,rb0,
55.16115,4,,rb0,
55.16115,5,,rb0,
55.16115,6,,rb0,
55.16115,7,,rb0,
55.16115,8,,rb0,
55.16115,9,,rb0,
55.16115,6,lp3,,
55.16115,7,lp3,,
55.16115,8,lp3,,
55.16115,1,2-3,,
55.16115,9,lp3,,
55.16115,4,2-3,,
55.16115,5,2-3,,
55.16115,2,2-3,,
55.16115,3,2-3,,
55.69443,6,,,
55.69443,7,,,
55.69443,8,,,
55.69443,1,lp3,,
55.69443,9,,,
55.69443,4,lp3,,
55.69443,5,lp3,,
55.69443,2,lp3,,
55.69443,3,lp3,,
56.86098,5,j3-4,,
56.86098,6,3-3,,
56.86098,7,3-3,,
56.86098,8,3-3,,
56.86098,1,3-3,,
56.86098,9,3-3,,
56.86098,4,3-3,,
56.86098,2,3-3,,
56.86098,3,3-3,,
57.16095,6,w3,,
57.16095,7,w3,,
57.16095,8,w3,,
57.16095,1,w3,,
57.16095,9,w3,,
57.16095,4,w3,,
57.16095,2,w3,,
57.16095,3,w3,,
57.394259999999996,5,4-1,,
57.794219999999996,5,lp1,,
58.994099999999996,5,j1-2,,
59.494049999999994,5,lp2,,
60.36063,2,,,f0
60.76059,5,2-3,,
60.76059,2,3-4,,
61.127219999999994,MOT_control_all,zoom8,,
61.127219999999994,MOT_mc_speaker_00,temp1,,
61.127219999999994,5,w3,,
61.127219999999994,2,j4-1,,
62.96037,2,1-2,,
63.526979999999995,2,2-3,,
63.960269999999994,2,w3,,
64.42689,2,sj3,,
64.76019,MOT_control_all,zoom9,,
64.76019,3,,,f0
64.82685,2,w3,,
65.16015,3,3-4,,
65.46012,3,4-1,,
65.79342,3,lp1,,
67.52658,MOT_all,cut6,,
67.55991,3,j1-2,,
68.02653,3,w2,,
68.25984,MOT_control_all,zoom10,,
68.25984,6,3-4,,
68.39316,MOT_mc_stage_color_00,b-flash,,
68.52647999999999,6,sj4,,
68.95976999999999,3,,,b0
68.95976999999999,6,lp4,,
68.95976999999999,2,4-4,,b0
68.95976999999999,1,4-4,,
68.95976999999999,9,4-4,,
68.95976999999999,4,4-4,,
68.95976999999999,5,4-4,,
68.95976999999999,3,4-4,,
69.75968999999999,6,4-1,,
69.75968999999999,1,w4,,
69.75968999999999,9,w4,,
69.75968999999999,4,w4,,
69.75968999999999,5,w4,,
69.75968999999999,2,w4,,
69.75968999999999,3,w4,,
69.92634,7,sj3,,
69.993,7,sj3,,
70.12631999999999,6,w1,,
70.25963999999999,7,j3-4,,
70.69292999999999,7,sj4,,
71.02623,7,lp4,,
71.55951,7,4-1,,
71.85947999999999,7,1-2,,
71.89281,8,sj3,,
72.19278,7,sj2,,
72.29276999999999,8,j3-4,,
72.55941,7,w2,,
72.72605999999999,8,sj4,,
73.05936,8,lp4,,
73.42599,8,4-1,,
73.72596,8,1-2,,
74.19257999999999,8,sj2,,
74.52588,8,w2,,
74.62586999999999,6,1-2,,
74.92584,6,sj2,,
75.29247,6,lp2,,
75.79241999999999,MOT_all,cut7,,
75.95907,6,2-3,,
76.02573,MOT_mc_stage_color_00,r-flashSP,,
76.22570999999999,MOT_control_all,zoom11,,
76.22570999999999,6,3-4,,
76.22570999999999,7,2-3,,
76.22570999999999,8,2-3,,
76.29236999999999,MOT_mc_light_up_00,l3,,
76.29236999999999,MOT_mc_light_center_00,l2,,
76.52568,6,hj4,,
76.52568,7,hj3,,
76.52568,8,hj3,,
76.52568,1,hj4,,
76.52568,9,hj4,,
76.52568,5,hj4,,
76.52568,4,hj4,,
76.52568,2,hj4,,
76.52568,3,hj4,,
76.62567,MOT_mc_stage_color_00,r-flashSP2,,
77.09228999999999,6,w4,,
77.09228999999999,7,w3,,
77.09228999999999,8,w3,,
77.09228999999999,1,w4,,
77.09228999999999,9,w4,,
77.09228999999999,4,w4,,
77.09228999999999,5,w4,,
77.09228999999999,2,w4,,
77.09228999999999,3,w4,,
77.39226,1,4-3,,
77.72556,1,w3,,
77.95886999999999,2,3-3,,
77.95886999999999,3,3-3,,
78.29217,2,w3,,
78.29217,3,w3,,
78.52548,4,4-3,,
78.52548,5,4-3,,
78.52548,6,4-3,,
78.52548,7,4-3,,
78.52548,8,4-3,,
78.52548,9,4-3,,
78.82545,4,w3,,
78.82545,5,w3,,
78.82545,6,w3,,
78.82545,7,w3,,
78.82545,8,w3,,
78.82545,9,w3,,
79.05875999999999,1,3-4,,
79.05875999999999,2,3-4,,
79.05875999999999,3,3-4,,
79.05875999999999,4,3-4,,
79.05875999999999,5,3-4,,
79.05875999999999,6,3-4,,
79.05875999999999,7,3-4,,
79.05875999999999,8,3-4,,
79.05875999999999,9,3-4,,
79.55870999999999,1,lp4,,
79.55870999999999,2,lp4,,
79.55870999999999,3,lp4,,
79.55870999999999,4,lp4,,
79.55870999999999,5,lp4,,
79.55870999999999,6,lp4,,
79.55870999999999,7,lp4,,
79.55870999999999,8,lp4,,
79.55870999999999,9,lp4,,
79.99199999999999,1,j4-3,,
79.99199999999999,2,j4-3,,
79.99199999999999,3,j4-3,,
79.99199999999999,4,j4-3,,
79.99199999999999,5,j4-3,,
79.99199999999999,6,j4-3,,
79.99199999999999,7,j4-3,,
79.99199999999999,8,j4-3,,
79.99199999999999,9,j4-3,,
80.55861,1,j3-2,,
80.55861,2,j3-2,,
80.55861,3,j3-2,,
80.55861,4,j3-2,,
80.55861,5,j3-2,,
80.55861,6,j3-2,,
80.55861,7,j3-2,,
80.55861,8,j3-2,,
80.55861,9,j3-2,,
80.95857,1,lp2,,
80.95857,2,lp2,,
80.95857,3,lp2,,
80.95857,4,lp2,,
80.95857,5,lp2,,
80.95857,6,lp2,,
80.95857,7,lp2,,
80.95857,8,lp2,,
80.95857,9,lp2,,
82.19178,1,j2-1,,
82.19178,2,j2-1,,
82.19178,3,j2-1,,
82.19178,4,j2-1,,
82.19178,5,j2-1,,
82.19178,6,j2-1,,
82.19178,7,j2-1,,
82.19178,8,j2-1,,
82.19178,9,j2-1,,
82.6584,4,1-2,,
82.6584,5,1-2,,
82.6584,8,1-2,,
82.6584,9,1-2,,
83.02503,1,w1,,
83.02503,2,1-2,,
83.02503,3,1-2,,
83.02503,6,1-2,,
83.02503,7,1-2,,
83.42499,1,1-2,,
83.79162,1,2-3,,
83.79162,2,2-3,,
83.79162,3,2-3,,
83.79162,4,2-3,,
83.79162,5,2-3,,
84.15825,1,j3-4,,
84.15825,2,j3-4,,
84.15825,3,j3-4,,
84.15825,4,j3-4,,
84.15825,5,j3-4,,
84.15825,6,j2-4,,
84.15825,7,j2-4,,
84.15825,8,j2-4,,
84.15825,9,j2-4,,
84.45822,MOT_all,cut8,,
84.62487,1,w4,,
84.62487,2,w4,,
84.62487,3,w4,,
84.62487,4,w4,,
84.62487,5,w4,,
84.62487,6,w4,,
84.62487,7,w4,,
84.62487,8,w4,,
84.62487,9,w4,,
84.79151999999999,1,4-1,,f1
84.79151999999999,9,4-1,,f0
85.02483,MOT_mc_stage_color_00,stay,,
85.02483,MOT_mc_light_up_00,stay,,
85.02483,MOT_mc_bg_black_00,b65-80,,
85.02483,MOT_mc_speaker_00,temp4,,
85.22480999999999,1,j1-2,,
85.22480999999999,9,j1-2,,
87.35793,1,2-3,,
87.35793,9,2-3,,
87.89121,1,lp3,,
87.89121,9,lp3,,
88.42448999999999,1,3-4,,
88.42448999999999,9,3-4,,
88.85777999999999,1,w4,,b0
88.85777999999999,9,w4,,b-1
89.75769,4,j4-2,,f1
89.75769,5,j4-2,,f1
90.25764,4,w2,,
90.25764,5,w2,,
90.92424,4,2-3,,
90.92424,5,2-3,,
91.29087,4,3-4,,
91.29087,5,3-4,,
91.72416,4,w4,,b0
91.72416,5,w4,,b0
91.92414,2,j4-2,,f1
91.92414,3,j4-2,,f1
92.42408999999999,2,sj2,,
92.42408999999999,3,sj2,,
92.85737999999999,2,lp2,,
92.85737999999999,3,lp2,,
93.9906,6,hj4,,
93.9906,7,hj4,,
93.9906,8,hj4,,
94.15724999999999,2,w2,,b0
94.15724999999999,3,w2,,b0
